Page,ETS(clicks)
A_Game_of_Thrones_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
A_Series_of_Unfortunate_Events_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
A_Series_of_Unfortunate_Events_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
A_Song_of_Ice_and_Fire_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
A_Song_of_Ice_and_Fire_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,A,M)>"
A._P._J._Abdul_Kalam_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
A._R._Rahman_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
A.J._Styles_en.wikipedia.org_all-access_all-agents,"<ETS(A,N,N)>"
A.J._Styles_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
AAA_(音楽グループ)_ja.wikipedia.org_all-access_all-agents,"<ETS(M,N,A)>"
AAA_(音楽グループ)_ja.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Aaliyah_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,A)>"
Aamir_Khan_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Aaron_Hernandez_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Aaron_Rodgers_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,N)>"
Aaron_Taylor-Johnson_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,N)>"
Abigail_Spencer_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Aborto_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Abraham_Lincoln_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
AC/DC_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
AC/DC_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
AC/DC_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,A,A)>"
Academy_Award_for_Best_Actor_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Academy_Award_for_Best_Picture_en.wikipedia.org_desktop_all-agents,"<ETS(M,A,M)>"
Academy_Award_for_Best_Picture_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,A)>"
Academy_Awards_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Academy_Awards_en.wikipedia.org_mobile-web_all-agents,"<ETS(A,N,N)>"
Accidente_de_Chernóbil_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Ácido_desoxirribonucleico_es.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Acoso_escolar_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Adam_Driver_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Adam_Driver_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Adam_Levine_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Adam_Levine_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Adam_Sandler_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,N)>"
Adewale_Akinnuoye-Agbaje_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Adidas_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Adidas_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Adjetivo_es.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
Administración_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,A)>"
Adolescencia_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Adolf_Hitler_de.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Adolf_Hitler_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Adolf_Hitler_es.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
